===== Results for clang, L=128, -O2 =====
===== Program output =====
# L: 128
# Minimum Temperature: 1.500000
# Maximum Temperature: 3.000000
# Temperature Step: 0.010000000000
# Equilibration Time: 5
# Measurement Time: 25
# Data Acquiring Step: 5
# Number of Points: 151
# Total Simulation Time (sec): 0.863071
# Temp	E	E^2	E^4	M	M^2	M^4
1.500000	-1.9479980469	3.7947058797	14.3999368544	0.9853271484	0.9708703846	0.9425923922
1.510000	-1.9466796875	3.7895687580	14.3609367719	0.9853271484	0.9708705157	0.9425931559
1.520000	-1.9468261719	3.7901363730	14.3651978969	0.9852783203	0.9707738012	0.9424034543
1.530000	-1.9441894531	3.7798873305	14.2877707763	0.9844970703	0.9692353994	0.9394208192
1.540000	-1.9444335937	3.7808772326	14.2958715073	0.9843261719	0.9689032197	0.9387936681
1.550000	-1.9417968750	3.7706152201	14.2181441701	0.9836914062	0.9676510155	0.9363571331
1.560000	-1.9354003906	3.7457772374	14.0308855879	0.9820800781	0.9644817293	0.9302267402
1.570000	-1.9296875000	3.7237391472	13.8669070433	0.9804443359	0.9612745374	0.9240619586
1.580000	-1.9343261719	3.7416522861	14.0004773635	0.9808837891	0.9621369511	0.9257226656
1.590000	-1.9329589844	3.7363426328	13.9604385214	0.9815185547	0.9633798093	0.9281050350
1.600000	-1.9283203125	3.7184682131	13.8277355212	0.9789550781	0.9583586514	0.9184728005
1.610000	-1.9216308594	3.6926727891	13.6359451333	0.9771728516	0.9548679084	0.9117770275
1.620000	-1.9233886719	3.6994693398	13.6867434122	0.9779785156	0.9564457834	0.9148030882
1.630000	-1.9199218750	3.6861926079	13.5893775172	0.9770019531	0.9545425653	0.9111886858
1.640000	-1.9147949219	3.6664969802	13.4440440852	0.9757324219	0.9520614564	0.9064503923
1.650000	-1.9120117188	3.6558205128	13.3654880150	0.9742675781	0.9492025614	0.9010054390
1.660000	-1.9058105469	3.6321681619	13.1934339478	0.9726562500	0.9460642636	0.8950530362
1.670000	-1.9096679688	3.6468595266	13.2999886179	0.9735351562	0.9477764308	0.8983018453
1.680000	-1.8983886719	3.6038981795	12.9883503814	0.9697509766	0.9404192716	0.8843971099
1.690000	-1.8948730469	3.5906225562	12.8936973463	0.9684814453	0.9379704624	0.8798414619
1.700000	-1.9004882812	3.6118983984	13.0464274954	0.9708984375	0.9426491320	0.8886075986
1.710000	-1.8945312500	3.5893057823	12.8839391811	0.9688232422	0.9386269659	0.8810525514
1.720000	-1.8946777344	3.5899381280	12.8895793113	0.9684082031	0.9378329575	0.8796000423
1.730000	-1.8841796875	3.5501920938	12.6047007053	0.9657714844	0.9327216983	0.8699964127
1.740000	-1.8818847656	3.5416154742	12.5448142612	0.9641357422	0.9295700818	0.8641465116
1.750000	-1.8778320313	3.5263632059	12.4367823340	0.9633300781	0.9280193031	0.8612733146
1.760000	-1.8790039062	3.5307174683	12.4668355522	0.9633789062	0.9281068802	0.8614119297
1.770000	-1.8753417969	3.5169963717	12.3705317556	0.9621582031	0.9257572591	0.8570594046
1.780000	-1.8599121094	3.4593037963	11.9672084848	0.9560546875	0.9140422821	0.8354795740
1.790000	-1.8673339844	3.4869841456	12.1597262770	0.9608642578	0.9232679456	0.8524525169
1.800000	-1.8640136719	3.4745859981	12.0732911238	0.9585449219	0.9188116848	0.8442271165
1.810000	-1.8607421875	3.4624336481	11.9894448924	0.9576171875	0.9170446634	0.8410220928
1.820000	-1.8473632813	3.4128615618	11.6491299985	0.9525146484	0.9073033422	0.8232688064
1.830000	-1.8470703125	3.4117413521	11.6409721320	0.9525634766	0.9073916584	0.8234122346
1.840000	-1.8451660156	3.4046728015	11.5922755537	0.9520507812	0.9064077616	0.8216006069
1.850000	-1.8301757812	3.3496906281	11.2224019896	0.9463867188	0.8956705034	0.8023070736
1.860000	-1.8277343750	3.3406323195	11.1600831480	0.9444091797	0.8919130832	0.7955245808
1.870000	-1.8316406250	3.3551016092	11.2593082454	0.9472167969	0.8972555816	0.8051962193
1.880000	-1.8241210938	3.3275429487	11.0742079750	0.9427001953	0.8887093574	0.7898958696
1.890000	-1.8165527344	3.2998924136	10.8896675783	0.9410644531	0.8856059611	0.7843108751
1.900000	-1.8117675781	3.2825049520	10.7748807158	0.9404541016	0.8844588012	0.7822846574
1.910000	-1.8030273437	3.2509468794	10.5691681649	0.9345703125	0.8734313428	0.7629160520
1.920000	-1.8025878906	3.2493424296	10.5584775666	0.9361572266	0.8763935000	0.7680765967
1.930000	-1.7812988281	3.1730994105	10.0694968374	0.9266601562	0.8587130606	0.7374362049
1.940000	-1.7864257812	3.1914943457	10.1878942348	0.9308349609	0.8664908797	0.7509352959
1.950000	-1.7830566406	3.1796415687	10.1145963824	0.9250488281	0.8557983816	0.7326767661
