===== Results for gcc, L=128, -O1 =====
===== Program output =====
# L: 128
# Minimum Temperature: 1.500000
# Maximum Temperature: 3.000000
# Temperature Step: 0.010000000000
# Equilibration Time: 5
# Measurement Time: 25
# Data Acquiring Step: 5
# Number of Points: 151
# Total Simulation Time (sec): 0.886789
# Temp	E	E^2	E^4	M	M^2	M^4
1.500000	-1.9452636719	3.7840683579	14.3194398107	0.9849121094	0.9700538278	0.9410120487
1.510000	-1.9502441406	3.8034724832	14.4667112382	0.9860839844	0.9723641217	0.9455017004
1.520000	-1.9493652344	3.8000363946	14.4404525747	0.9855224609	0.9712560147	0.9433440513
1.530000	-1.9452636719	3.7840816140	14.3197410833	0.9850097656	0.9702465177	0.9413871554
1.540000	-1.9452148438	3.7838940620	14.3183571037	0.9844238281	0.9690934002	0.9391541156
1.550000	-1.9424316406	3.7730836749	14.2368083488	0.9841552734	0.9685657829	0.9381358609
1.560000	-1.9385253906	3.7578895450	14.1218670171	0.9827880859	0.9658728629	0.9329120910
1.570000	-1.9412109375	3.7683123827	14.2003662738	0.9833740234	0.9670258194	0.9351441564
1.580000	-1.9308105469	3.7281243205	13.9003241628	0.9804687500	0.9613290071	0.9241920019
1.590000	-1.9310058594	3.7288060546	13.9043291336	0.9805175781	0.9614178777	0.9243364710
1.600000	-1.9280273437	3.7173148394	13.8188076421	0.9793457031	0.9591202676	0.9199203638
1.610000	-1.9314941406	3.7306992650	13.9185598590	0.9806884766	0.9617532045	0.9249819927
1.620000	-1.9199218750	3.6861071110	13.5874904149	0.9770507812	0.9546288967	0.9113188803
1.630000	-1.9205566406	3.6885889411	13.6064418113	0.9770996094	0.9547294140	0.9115302673
1.640000	-1.9208496094	3.6896720290	13.6138095879	0.9773437500	0.9552013755	0.9124118447
1.650000	-1.9194824219	3.6844370484	13.5754351152	0.9767578125	0.9540597498	0.9102450089
1.660000	-1.9146484375	3.6659427643	13.4400755537	0.9755126953	0.9516302496	0.9056200349
1.670000	-1.9084960937	3.6423834562	13.2673374018	0.9734130859	0.9475354284	0.8978324449
1.680000	-1.9013183594	3.6150150895	13.0683859305	0.9712402344	0.9433095634	0.8898403675
1.690000	-1.9022949219	3.6187483668	13.0956638168	0.9713134766	0.9434541136	0.8901216750
1.700000	-1.8983886719	3.6040115476	12.9907867378	0.9701660156	0.9412382424	0.8859898407
1.710000	-1.8908691406	3.5754003406	12.7836910140	0.9666992187	0.9345119894	0.8733299216
1.720000	-1.8864257813	3.5586530447	12.6647334103	0.9658447266	0.9328591317	0.8702377137
1.730000	-1.8824218750	3.5435715437	12.5577436177	0.9649169922	0.9310709804	0.8669162021
1.740000	-1.8824218750	3.5435384035	12.5570367557	0.9648437500	0.9309283435	0.8666457434
1.750000	-1.8770019531	3.5231838822	12.4134935770	0.9629638672	0.9273041099	0.8599103277
1.760000	-1.8782714844	3.5279152274	12.4463476096	0.9629150391	0.9272088617	0.8597292184
1.770000	-1.8745117188	3.5138968468	12.3489099577	0.9620849609	0.9256203026	0.8568203284
1.780000	-1.8666015625	3.4842419386	12.1405078854	0.9586914063	0.9190957308	0.8447609240
1.790000	-1.8583496094	3.4535278678	11.9277431275	0.9563720703	0.9146576136	0.8366353116
1.800000	-1.8604003906	3.4611530900	11.9804607546	0.9576660156	0.9171343207	0.8411726306
